accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_026438.1	Influenza_A_virus_A_California_07_2009_H1N1_1	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	1	2280	Homo sapiens	2955291	1394064
NC_026431.1	Influenza_A_virus_A_California_07_2009_H1N1_7	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	7	982	Homo sapiens	2955291	1394064
NC_026432.1	Influenza_A_virus_A_California_07_2009_H1N1_8	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	8	863	Homo sapiens	2955291	1394064
NC_026437.1	Influenza_A_virus_A_California_07_2009_H1N1_3	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	3	2151	Homo sapiens	2955291	1394064
NC_026433.1	Influenza_A_virus_A_California_07_2009_H1N1_4	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	4	1701	Homo sapiens	2955291	1394064
NC_026434.1	Influenza_A_virus_A_California_07_2009_H1N1_6	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	6	1410	Homo sapiens	2955291	1394064
NC_026435.1	Influenza_A_virus_A_California_07_2009_H1N1_2	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	2	2274	Homo sapiens	2955291	1394064
NC_026436.1	Influenza_A_virus_A_California_07_2009_H1N1_5	Influenza A virus (A/California/07/2009(H1N1))	GCF_001343785.1		A/California/07/2009	H1N1	5	1497	Homo sapiens	2955291	1394064
NC_004912.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_3	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1	A/Hong Kong/1073/99	A/Hong Kong/1073/99		3	2225		2955291	1394064
NC_004910.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_1	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1	A/Hong Kong/1073/99	A/Hong Kong/1073/99		1	2341		2955291	1394064
NC_004911.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_2	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1	A/Hong Kong/1073/99	A/Hong Kong/1073/99		2	2328		2955291	1394064
NC_004909.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_6	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1	A/Hong Kong/1073/99	A/Hong Kong/1073/99		6	1418		2955291	1394064
NC_004905.2	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_5	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1		A/Hong Kong/1073/99	H9N2	5	1557		2955291	1394064
NC_004906.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_8	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1		A/Hong Kong/1073/99	H9N2	8	890		2955291	1394064
NC_004907.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_7	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1		A/Hong Kong/1073/99 (H9N2)		7	1025		2955291	1394064
NC_004908.1	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_4	Influenza A virus (A/Hong Kong/1073/99(H9N2))	GCF_000851145.1	A/Hong Kong/1073/99	A/Hong Kong/1073/99		4	1714		2955291	1394064
NC_007375.1	Influenza_A_virus_A_Korea_426_1968_H2N2_2	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	2	2341		2955291	1394064
NC_007382.1	Influenza_A_virus_A_Korea_426_1968_H2N2_6	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	6	1410	Homo sapiens	2955291	1394064
NC_007376.1	Influenza_A_virus_A_Korea_426_1968_H2N2_3	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	3	2233		2955291	1394064
NC_007377.1	Influenza_A_virus_A_Korea_426_1968_H2N2_7	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	7	1027		2955291	1394064
NC_007381.1	Influenza_A_virus_A_Korea_426_1968_H2N2_5	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	5	1497	Homo sapiens	2955291	1394064
NC_007378.1	Influenza_A_virus_A_Korea_426_1968_H2N2_1	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	1	2341		2955291	1394064
NC_007380.1	Influenza_A_virus_A_Korea_426_1968_H2N2_8	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	8	838	Homo sapiens	2955291	1394064
NC_007374.1	Influenza_A_virus_A_Korea_426_1968_H2N2_4	Influenza A virus (A/Korea/426/1968(H2N2))	GCF_000866645.1		A/Korea/426/1968	H2N2	4	1773		2955291	1394064
NC_007371.1	Influenza_A_virus_A_New_York_392_2004_H3N2_3	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	3	2233	Homo sapiens	2955291	1394064
NC_007368.1	Influenza_A_virus_A_New_York_392_2004_H3N2_6	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	6	1467	Homo sapiens	2955291	1394064
NC_007367.1	Influenza_A_virus_A_New_York_392_2004_H3N2_7	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	7	1027	Homo sapiens	2955291	1394064
NC_007369.1	Influenza_A_virus_A_New_York_392_2004_H3N2_5	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	5	1566	Homo sapiens	2955291	1394064
NC_007366.1	Influenza_A_virus_A_New_York_392_2004_H3N2_4	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	4	1762	Homo sapiens	2955291	1394064
NC_007370.1	Influenza_A_virus_A_New_York_392_2004_H3N2_8	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	8	890	Homo sapiens	2955291	1394064
NC_007372.1	Influenza_A_virus_A_New_York_392_2004_H3N2_2	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	2	2341	Homo sapiens	2955291	1394064
NC_007373.1	Influenza_A_virus_A_New_York_392_2004_H3N2_1	Influenza A virus (A/New York/392/2004(H3N2))	GCF_000865085.1		A/New York/392/2004	H3N2	1	2341	Homo sapiens	2955291	1394064
NC_002016.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_7	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934	H1N1	7	1027		2955291	1394064
NC_002018.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_6	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934(H1N1)		6	1413		2955291	1394064
NC_002017.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_4	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934	H1N1	4	1778		2955291	1394064
NC_002022.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_3	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934	H1N1	3	2233		2955291	1394064
NC_002023.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_1	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934	H1N1	1	2341		2955291	1394064
NC_002019.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_5	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934(H1N1)		5	1565		2955291	1394064
NC_002020.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_8	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934	H1N1	8	890		2955291	1394064
NC_002021.1	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_2	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	GCF_000865725.1		A/Puerto Rico/8/1934		2	2341		2955291	1394064
NC_026428.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_8	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	8	841	Homo sapiens	2955291	1394064
NC_026429.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_6	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	6	1398	Homo sapiens	2955291	1394064
NC_026426.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_5	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	5	1506	Homo sapiens	2955291	1394064
NC_026424.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_3	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	3	2176	Homo sapiens	2955291	1394064
NC_026423.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_2	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	2	2297	Homo sapiens	2955291	1394064
NC_026427.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_7	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	7	985	Homo sapiens	2955291	1394064
NC_026422.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_1	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	1	2280	Homo sapiens	2955291	1394064
NC_026425.1	Influenza_A_virus_A_Shanghai_02_2013_H7N9_4	Influenza A virus (A/Shanghai/02/2013(H7N9))	GCF_000928555.1		A/Shanghai/02/2013	H7N9	4	1708	Homo sapiens	2955291	1394064
NC_007362.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_4	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1		A/goose/Guangdong/1/1996	H5N1	4	1760		2955291	1394064
NC_007363.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_7	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1		A/goose/Guangdong/1/1996	H5N1	7	1027		2955291	1394064
NC_007364.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_8	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1		A/goose/Guangdong/1/1996	H5N1	8	865		2955291	1394064
NC_007360.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_5	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1	A/Goose/Guangdong/1/96(H5N1)	A/Goose/Guangdong/1/96(H5N1)		5	1565		2955291	1394064
